time,ra,dec,scan_ix
2020-01-05 23:11:34.000000,45.38133302856089,12.515910529890508,0
2020-01-05 23:11:34.500012,45.38137755244234,12.515893529050633,0
2020-01-05 23:11:41.000000,45.381840339812825,12.516056445386573,1
2020-01-05 23:11:41.500012,45.38190331634668,12.516165476389851,1
2020-01-05 23:11:48.000000,45.38241381194208,12.51663453662949,2
2020-01-05 23:11:48.500012,45.38029025043826,12.515060313550382,2
2020-01-05 23:11:49.000024,45.378097058919586,12.513434189588711,2
2020-01-05 23:11:49.500036,45.3733393344426,12.51133830971115,2
2020-01-05 23:11:50.000047,45.368581673482474,12.509244725887239,2
2020-01-05 23:11:50.500060,45.35898717572968,12.51008719512259,2
2020-01-05 23:11:51.000071,45.34923651012178,12.511027017513879,2
2020-01-05 23:11:51.500083,45.332295044859215,12.51348693841663,2
2020-01-05 23:11:52.000095,45.31535490183431,12.51595237692532,2
2020-01-05 23:11:52.500107,45.3050662077548,12.516862761254425,2
2020-01-05 23:11:53.000119,45.294991352836,12.51772614094551,2
2020-01-05 23:11:53.500131,45.28730853940374,12.517340925702177,2
2020-01-05 23:11:54.000143,45.279626216898905,12.516958495473752,2
2020-01-05 23:11:54.500155,45.27135620693648,12.516922320819525,2
2020-01-05 23:11:55.000167,45.26305818810273,12.516905659481239,2
2020-01-05 23:11:55.500178,45.2546106325744,12.516995845791888,2
2020-01-05 23:11:56.000190,45.24616363975104,12.517088853031254,2
2020-01-05 23:11:56.500203,45.237709309800124,12.5170254596267,2
2020-01-05 23:11:57.000214,45.22925530438718,12.516960076507662,2
2020-01-05 23:11:57.500226,45.2208861889644,12.517121940459724,2
2020-01-05 23:11:58.000238,45.2125176264062,12.517286533242581,2
2020-01-05 23:11:58.500250,45.20390268036823,12.517224630648606,2
2020-01-05 23:11:59.000262,45.19528054681949,12.517158622614419,2
2020-01-05 23:11:59.500274,45.18678536372835,12.517272337145467,2
2020-01-05 23:12:00.000285,45.17829075263454,12.517388901198723,2
2020-01-05 23:12:00.500298,45.16978633052534,12.517350018133863,2
2020-01-05 23:12:01.000310,45.161282157346626,12.51730917825693,2
2020-01-05 23:12:01.500321,45.15277730299033,12.51734999489735,2
2020-01-05 23:12:02.000333,45.144268976716674,12.517388418205465,2
2020-01-05 23:12:02.500345,45.13567982871792,12.517323247465617,2
2020-01-05 23:12:03.000357,45.12709133211302,12.517261225129438,2
2020-01-05 23:12:03.500369,45.11856798197474,12.517305816881082,2
2020-01-05 23:12:04.000381,45.11004521566211,12.51735335696345,2
2020-01-05 23:12:04.500393,45.10152763978665,12.51728958445442,2
2020-01-05 23:12:05.000405,45.09301087611175,12.517225518502222,2
2020-01-05 23:12:05.500417,45.08456160998325,12.517481129554554,2
2020-01-05 23:12:06.000428,45.07611291110984,12.517739476972666,2
2020-01-05 23:12:06.500441,45.06762768843119,12.517769886558874,2
2020-01-05 23:12:07.000452,45.05914178993821,12.517795910163814,2
2020-01-05 23:12:07.500464,45.05055448343278,12.51768150961519,2
2020-01-05 23:12:08.000476,45.04196778106163,12.51757025481056,2
2020-01-05 23:12:08.500488,45.03356783442172,12.517691092306752,2
2020-01-05 23:12:09.000500,45.02517413520544,12.517821897205078,2
2020-01-05 23:12:09.500512,45.01666182475182,12.517917557736364,2
2020-01-05 23:12:10.000524,45.008150104646774,12.518016150931757,2
2020-01-05 23:12:10.500536,44.9996340488345,12.517973400731229,2
2020-01-05 23:12:11.000548,44.99111835271581,12.517929216506317,2
2020-01-05 23:12:11.500559,44.982547089202384,12.517869662225392,2
2020-01-05 23:12:12.000571,44.97397643225648,12.517813221266973,2
2020-01-05 23:12:12.500584,44.965505934633306,12.517899093127248,2
